Subjects,Before_walking,After_waking,Before_armmovement,After_armmovement,Before_typing,After_typing,Before_writing,After_writing
Subject 1,0.62,0.30,1.02,0.55,0.81,0.57,0.96,0.30
Subject 2,0.62,0.40,0.60,0.31,0.49,0.17,0.57,0.38
Subject 3,0.00,0.00,1.09,0.31,0.87,0.56,1.44,0.46
Subject 4,0.46,0.44,0.84,0.45,0.86,0.33,0.74,0.24
Subject 5,0.85,1.07,1.32,0.93,0.80,0.74,1.13,1.18
Subject 6,0.57,0.48,0.84,0.27,1.06,0.28,0.95,0.33
Subject 7,0.89,0.13,0.51,0.26,0.45,0.23,0.45,0.23
Subject 8,1.27,0.52,1.15,0.23,0.99,0.49,0.95,0.46
